log_id,user_plant_id,log_type,text,created_at
LOG-00000,UP-1001,watering,Watered ~200ml,2026-06-01 09:00:00
LOG-00001,UP-1001,fertilising,Diluted seaweed feed,2026-06-03 14:00:00
LOG-00002,UP-1001,watering,"Watered a bit, leaves drooping",2026-06-04 07:30:00
LOG-00003,UP-1001,watering,"Watered a bit, leaves drooping",2026-06-07 11:30:00
LOG-00004,UP-1001,watering,"Top soil was dry, watered",2026-06-12 17:30:00
LOG-00005,UP-1001,watering,Gave it a good soak,2026-06-15 19:45:00
LOG-00006,UP-1001,watering,Bottom-watered today,2026-06-20 08:30:00
LOG-00007,UP-1001,light,Moved closer to window,2026-06-21 11:00:00
LOG-00008,UP-1002,watering,Quick water,2026-06-01 13:30:00
LOG-00009,UP-1002,fertilising,Added liquid fertiliser (half dose),2026-06-01 20:00:00
LOG-00010,UP-1002,repotting,Moved to terracotta pot,2026-06-04 20:00:00
LOG-00011,UP-1002,watering,Watered ~200ml,2026-06-04 20:30:00
LOG-00012,UP-1002,watering,Gave it a good soak,2026-06-09 19:15:00
LOG-00013,UP-1002,light,"Too much direct sun, moved back",2026-06-10 13:00:00 
LOG-00014,UP-1002,watering,Quick water,2026-06-13 14:00:00
LOG-00015,UP-1002,light,Moved closer to window,2026-06-17 18:00:00
LOG-00016,UP-1002,watering,Gave it a good soak,2026-06-18 08:30:00
LOG-00017,UP-1003,watering,Watered ~200ml,2026-06-01 16:00:00
LOG-00018,UP-1003,watering,"Top soil was dry, watered",2026-06-06 10:45:00
LOG-00019,UP-1003,watering,Bottom-watered today,2026-06-09 11:30:00
LOG-00020,UP-1003,fertilising,NPK feed this week,2026-06-12 10:00:00
LOG-00021,UP-1003,watering,Bottom-watered today,2026-06-13 20:45:00
LOG-00022,UP-1003,light,Rotated toward the light,2026-06-16 18:00:00
LOG-00023,UP-1003,watering,Gave it a good soak,2026-06-17 11:15:00
LOG-00024,UP-1003,fertilising,NPK feed this week,2026-06-19 10:00:00
LOG-00025,UP-1003,light,Rotated toward the light,2026-06-21 08:00:00
LOG-00026,UP-1003,watering,Gave it a good soak,2026-06-21 19:15:00
LOG-00027,UP-1004,watering,Quick water,2026-06-01 07:15:00
LOG-00028,UP-1004,watering,Bottom-watered today,2026-06-05 09:00:00
LOG-00029,UP-1004,watering,Gave it a good soak,2026-06-08 11:45:00
LOG-00030,UP-1004,watering,Gave it a good soak,2026-06-13 19:30:00
LOG-00031,UP-1004,watering,Gave it a good soak,2026-06-16 10:30:00
LOG-00032,UP-1004,watering,Gave it a good soak,2026-06-20 08:30:00
LOG-00033,UP-1005,watering,"Top soil was dry, watered",2026-06-01 18:00:00
LOG-00034,UP-1005,watering,Bottom-watered today,2026-06-05 14:30:00
LOG-00035,UP-1005,watering,"Watered a bit, leaves drooping",2026-06-09 18:15:00
LOG-00036,UP-1005,watering,Bottom-watered today,2026-06-13 17:45:00
LOG-00037,UP-1005,fertilising,NPK feed this week,2026-06-13 20:00:00
LOG-00038,UP-1005,watering,"Top soil was dry, watered",2026-06-18 14:00:00
LOG-00039,UP-1005,watering,Watered ~200ml,2026-06-21 19:00:00
LOG-00040,UP-1006,watering,"Watered a bit, leaves drooping",2026-06-01 07:15:00
LOG-00041,UP-1006,light,"Too much direct sun, moved back",2026-06-03 18:00:00
LOG-00042,UP-1006,watering,Gave it a good soak,2026-06-05 19:00:00
LOG-00043,UP-1006,light,Rotated toward the light,2026-06-07 14:00:00
LOG-00044,UP-1006,watering,"Top soil was dry, watered",2026-06-10 08:00:00
LOG-00045,UP-1006,repotting,Fresh substrate + repot,2026-06-13 17:00:00
LOG-00046,UP-1006,repotting,Moved to terracotta pot,2026-06-14 15:00:00
LOG-00047,UP-1006,watering,"Watered a bit, leaves drooping",2026-06-15 16:00:00
LOG-00048,UP-1006,watering,Watered ~200ml,2026-06-20 18:45:00
