device_id,timestamp,substrate_label,soil_moisture_vwc,soil_temp_c,ec_us_cm,light_par,air_humidity_pct,is_outlier,outlier_reason,time_diff,estimated_missing_readings
SENS-04,2026-06-01 00:00:00,potting_soil,105.02,18.17,697.0,0.0,55.8,True,soil_moisture_vwc_hard_range_violation;,,0
SENS-04,2026-06-01 00:15:00,potting_soil,103.24,18.95,727.0,0.0,67.1,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 00:30:00,potting_soil,102.31,18.16,662.0,0.0,54.5,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 00:45:00,potting_soil,100.31,18.18,682.0,0.0,67.4,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 01:00:00,potting_soil,99.13,17.65,742.0,0.0,65.3,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 01:15:00,potting_soil,97.66,17.33,665.0,0.0,59.3,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 01:30:00,potting_soil,96.13,17.65,702.0,0.0,72.1,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 01:45:00,potting_soil,94.51,18.21,719.0,0.0,68.4,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 02:00:00,potting_soil,93.43,17.34,659.0,0.0,60.7,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 02:15:00,potting_soil,92.42,18.21,629.0,0.0,67.3,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 02:30:00,potting_soil,90.56,17.3,736.0,0.0,70.9,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 02:45:00,potting_soil,89.88,17.08,815.0,0.0,75.1,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 03:00:00,potting_soil,88.28,17.6,718.0,0.0,69.4,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 03:15:00,potting_soil,87.33,17.78,726.0,0.0,63.2,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 03:30:00,potting_soil,85.77,17.61,665.0,0.0,76.0,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 03:45:00,potting_soil,84.52,17.63,759.0,0.0,73.5,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 04:00:00,potting_soil,82.96,18.26,685.0,0.0,65.7,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 04:15:00,potting_soil,81.72,17.72,747.0,0.0,73.7,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-01 04:30:00,potting_soil,80.64,17.58,724.0,0.0,74.2,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 00:00:00,potting_soil,105.23,17.82,660.0,0.0,58.5,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 00:15:00,potting_soil,103.57,18.54,674.0,0.0,60.9,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 00:30:00,potting_soil,102.04,18.63,632.0,0.0,56.4,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 00:45:00,potting_soil,101.3,18.25,688.0,0.0,66.3,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 01:00:00,potting_soil,100.38,18.19,698.0,0.0,68.0,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 01:15:00,potting_soil,98.99,17.75,718.0,0.0,61.4,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 01:30:00,potting_soil,97.89,17.95,707.0,0.0,69.5,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 01:45:00,potting_soil,95.98,17.4,772.0,0.0,62.9,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 02:00:00,potting_soil,94.86,17.39,732.0,0.0,69.6,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 02:15:00,potting_soil,93.63,17.58,729.0,0.0,67.7,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 02:30:00,potting_soil,92.29,16.91,715.0,0.0,73.3,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 02:45:00,potting_soil,91.14,17.74,721.0,0.0,70.7,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 03:00:00,potting_soil,89.94,16.51,691.0,0.0,73.4,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 03:15:00,potting_soil,88.28,17.65,704.0,0.0,74.9,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 03:30:00,potting_soil,87.85,17.71,777.0,0.0,70.8,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 03:45:00,potting_soil,87.13,17.25,697.0,0.0,72.0,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 04:00:00,potting_soil,85.89,17.13,647.0,0.0,69.1,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 04:15:00,potting_soil,84.11,17.52,728.0,0.0,71.8,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 04:30:00,potting_soil,82.09,18.02,735.0,0.0,78.6,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 04:45:00,potting_soil,81.88,18.0,706.0,0.0,75.2,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 05:00:00,potting_soil,80.81,17.52,625.0,0.0,69.9,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-03 05:15:00,potting_soil,80.12,18.13,751.0,0.0,77.9,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 00:00:00,potting_soil,107.04,19.66,633.0,0.0,56.1,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 00:15:00,potting_soil,105.66,17.77,666.0,0.0,58.6,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 00:30:00,potting_soil,104.89,18.29,708.0,0.0,60.2,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 00:45:00,potting_soil,103.03,18.24,646.0,0.0,64.1,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 01:00:00,potting_soil,101.67,18.17,749.0,0.0,63.5,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 01:15:00,potting_soil,99.95,17.47,721.0,0.0,63.0,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 01:30:00,potting_soil,99.16,17.97,664.0,0.0,62.9,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 01:45:00,potting_soil,98.05,17.47,641.0,0.0,64.8,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 02:00:00,potting_soil,97.27,17.05,671.0,0.0,66.0,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 02:15:00,potting_soil,95.47,17.95,664.0,0.0,66.3,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 02:30:00,potting_soil,94.01,17.8,651.0,0.0,71.3,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
SENS-04,2026-06-05 02:45:00,potting_soil,92.1,17.12,644.0,0.0,74.1,True,soil_moisture_vwc_hard_range_violation;,0 days 00:15:00,0
